Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,156,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,158,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,157,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,157,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,157,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,157,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,160,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,161,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,161,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,162,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,163,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,163,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,164,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,164,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,165,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,165,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,166,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,167,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,167,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,169,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,170,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,170,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,170,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,171,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,173,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,174,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,175,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,176,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,179,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,180,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,182,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,186,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,187,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,189,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,192,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,196,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,196,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,202,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,212,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,216,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,223,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,227,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,237,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,250,104,,10341,73,,,,,,,,,,
2020-07-06T15:56:00.557Z,258,109,,10464,81,,,,,,,,,,
2020-07-07T05:00:26.417Z,261,112,,10564,77,,,,,,,,,,
2020-07-07T07:17:42.693Z,268,119,,10603,84,,,,,,,,,,
2020-07-07T15:43:32.247Z,281,132,,10737,97,,,,,,,,,,
2020-07-07T19:25:00.177Z,286,137,,10822,102,,,,,,,,,,
2020-07-08T07:31:44.197Z,303,154,,10922,114,,,,,,,,,,
2020-07-08T15:51:46.940Z,307,158,,11019,118,,,,,,,,,,
2020-07-08T19:34:17.600Z,309,160,,11079,120,,,,,,,,,,
2020-07-09T07:16:21.100Z,311,164,,11153,118,,,,,,,,,,
2020-07-09T15:38:11.660Z,322,175,,11386,129,,,,,,,,,,
2020-07-10T04:16:29.737Z,329,181,,11631,127,,,,,,,,,,
2020-07-10T07:28:43.630Z,330,182,,11664,128,,,,,,,,,,
2020-07-10T14:20:07.117Z,336,187,,11813,134,,,,,,,,,,
2020-07-11T17:08:38.350Z,348,195,,12098,135,,,,,,,,,,
2020-07-11T19:41:22.557Z,348,195,,12098,135,,,,,,,,,,
2020-07-12T07:32:17.937Z,355,202,,12292,114,,,,,,,,,,
2020-07-12T15:55:03.303Z,358,205,,12382,116,,,,,,,,,,
2020-07-13T12:16:23.697Z,368,215,,12606,113,,,,,,,,,,
2020-07-13T13:19:16.637Z,368,215,,12618,113,,,,,,,,,,
2020-07-13T19:28:55.597Z,370,216,,12690,115,,,,,,,,,,
2020-07-14T07:14:06.710Z,372,218,,12781,72,,,,,,,,,,
2020-07-14T20:02:00.000Z,385,229,,2087,82,,,,,,,,,,
2020-07-15T07:32:13.567Z,388,232,,1928,75,,,,,,,,,,
2020-07-15T15:35:31.323Z,390,233,,2050,77,,,,,,,,,,
2020-07-15T19:29:13.910Z,392,234,,2099,78,,,,,,,,,,
2020-07-16T07:40:17.937Z,394,236,,1861,63,,,,,,,,,,
2020-07-16T15:42:35.290Z,401,242,,2099,69,,,,,,,,,,
2020-07-16T19:09:09.317Z,402,243,,2206,71,,,,,,,,,,
2020-07-17T07:18:52.977Z,406,246,,1880,56,,,,,,,,,,
2020-07-17T15:27:31.690Z,413,252,,1981,63,,,,,,,,,,
2020-07-18T19:46:54.420Z,431,265,,2126,72,,,,,,,,,,
2020-07-19T07:20:25.537Z,431,264,,1912,66,,,,,,,,,,
2020-07-19T15:47:25.010Z,437,269,,1984,72,,,,,,,,,,
2020-07-19T19:39:30.623Z,439,271,,2028,73,,,,,,,,,,
2020-07-20T07:39:43.380Z,442,274,,1801,66,,,,,,,,,,
2020-07-20T16:08:51.117Z,447,278,,1884,70,,,,,,,,,,
2020-07-20T19:37:52.507Z,447,278,,1898,70,,,,,,,,,,
2020-07-21T07:10:01.260Z,452,282,,1703,59,,,,,,,,,,
2020-07-21T15:44:09.447Z,457,282,,1801,63,,,,,,,,,,
2020-07-21T19:34:08.533Z,458,281,,1883,63,,,,,,,,,,
2020-07-22T07:21:49.913Z,459,281,,1586,58,,,,,,,,,,
2020-07-22T16:17:18.653Z,466,286,,1773,67,,,,,,,,,,
2020-07-22T19:32:45.860Z,468,288,,1843,69,,,,,,,,,,
2020-07-23T07:43:44.770Z,469,285,,1470,61,,,,,,,,,,
2020-07-23T15:47:26.380Z,475,286,,1556,67,,,,,,,,,,
2020-07-23T19:45:09.340Z,480,291,,1618,72,,,,,,,,,,
2020-07-24T07:25:49.703Z,480,284,,1442,56,,,,,,,,,,
2020-07-24T14:58:49.413Z,483,283,,1536,59,,,,,,,,,,
2020-07-25T16:46:57.223Z,485,284,,1295,52,,,,,,,,,,
2020-07-25T19:33:21.280Z,484,283,,1300,51,,,,,,,,,,
2020-07-26T07:34:22.503Z,487,286,,1208,48,,,,,,,,,,
2020-07-26T16:24:05.187Z,490,289,,1224,50,,,,,,,,,,
2020-07-26T19:12:10.287Z,492,291,,1258,52,,,,,,,,,,
2020-07-27T07:17:01.273Z,493,290,,1163,46,,,,,,,,,,
2020-07-27T16:04:20.010Z,501,298,,1252,56,,,,,,,,,,
2020-07-27T19:25:32.007Z,506,303,,1269,61,,,,,,,,,,
2020-07-28T04:31:31.657Z,506,213,,1041,51,,,,,,,,,,
2020-07-28T07:41:01.270Z,506,213,,1050,51,,,,,,,,,,
2020-07-28T08:57:27.217Z,507,214,28,1063,52,,,,,,,,,,
2020-07-28T07:41:01.270Z,506,213,0,1050,51,,,,,,,,,,
2020-07-28T15:57:37.887Z,516,223,30,1139,61,,,,,,,,,,
2020-07-28T19:05:30.067Z,517,224,30,1152,62,,,,,,,,,,
2020-07-29T04:22:45.457Z,517,223,30,963,51,,,,,,,,,,
2020-07-29T07:43:55.003Z,518,225,30,1003,53,,,,,,,,,,
2020-07-29T15:54:50.897Z,528,235,31,1069,63,,,,,,,,,,
2020-07-29T19:47:41.590Z,528,235,31,1098,63,,,,,,,,,,
2020-07-30T03:34:45.407Z,532,224,30,918,56,,,,,,,,,,
2020-07-30T07:55:24.147Z,532,224,30,936,56,,,,,,,,,,
2020-07-30T15:43:54.137Z,533,164,22,968,57,,,,,,,,,,
2020-07-30T19:25:51.573Z,535,165,22,1022,59,,,,,,,,,,
2020-07-31T03:50:21.007Z,536,162,22,1018,54,,,,,,,,,,
2020-07-31T07:43:12.217Z,536,162,22,1087,54,,,,,,,,,,
2020-07-31T14:53:21.500Z,537,163,22,1133,55,,,,,,,,,,
2020-08-01T16:50:00.920Z,538,157,21,1177,52,,,,,,,,,,
2020-08-01T19:55:08.933Z,538,157,21,1180,52,,,,,,,,,,
2020-08-02T03:33:43.373Z,538,148,20,1108,49,,,,,,,,,,
2020-08-02T07:36:18.830Z,538,148,20,1110,49,,,,,,,,,,
2020-08-02T14:56:26.230Z,540,149,20,1128,51,,,,,,,,,,
2020-08-02T19:40:45.250Z,540,149,20,1148,51,,,,,,,,,,
2020-08-03T04:12:58.747Z,540,146,19,1027,33,,,,,,,,,,
2020-08-03T07:31:19.470Z,540,146,19,1047,33,,,,,,,,,,
2020-08-03T15:51:59.413Z,541,147,20,1091,34,,,,,,,,,,
2020-08-03T19:19:51.413Z,541,147,20,1106,34,,,,,,,,,,
2020-08-04T04:24:01.137Z,543,137,18,1033,26,,,,,,,,,,
2020-08-04T07:09:49.710Z,542,136,18,1051,25,,,,,,,,,,
2020-08-04T16:04:10.740Z,543,137,18,1129,26,,,,,,,,,,
2020-08-04T19:23:52.547Z,543,137,18,1150,26,,,,,,,,,,
2020-08-05T04:07:11.650Z,543,130,17,972,11-14,,,,,,,,,,
2020-08-05T07:07:34.267Z,548,135,18,1131,17,,,,,,,,,,
2020-08-05T15:57:55.180Z,549,136,18,1230,18,,,,,,,,,,
2020-08-05T19:15:38.693Z,549,136,18,1268,18,,,,,,,,,,
2020-08-06T03:52:50.220Z,549,121,16,1236,11-14,,,,,,,,,,
2020-08-06T07:26:05.917Z,555,127,17,1264,20,,,,,,,,,,
2020-08-06T15:55:31.993Z,556,128,17,1321,21,,,,,,,,,,
2020-08-06T19:15:44.523Z,556,128,17,1336,21,,,,,,,,,,
2020-08-07T03:46:04.500Z,558,122,16,1049,20,,,,,,,,,,
2020-08-07T08:10:09.393Z,559,123,16,1067,21,,,,,,,,,,
2020-08-07T14:40:50.180Z,561,125,17,1108,23,,,,,,,,,,
2020-08-08T16:45:50.553Z,570,129,17,1133,32,,,,,,,,,,
2020-08-08T19:27:22.153Z,570,129,17,1135,32,,,,,,,,,,
2020-08-09T04:06:23.703Z,570,122,16,1085,30,,,,,,,,,,
2020-08-09T07:14:20.263Z,570,122,16,1085,30,,,,,,,,,,
2020-08-09T16:06:33.187Z,569,123,16,1095,31,,,,,,,,,,
2020-08-09T19:26:37.877Z,568,124,16,1115,31,,,,,,,,,,
2020-08-10T07:20:10.150Z,570,117,16,1035,32,,,,,,,,,,
2020-08-10T15:48:14.683Z,574,121,16,1078,36,,,,,,,,,,
2020-08-10T19:33:40.523Z,578,125,17,1096,40,,,,,,,,,,
2020-08-11T03:33:09.120Z,581,124,16,972,41,,,,,,,,,,
2020-08-11T07:23:01.417Z,581,124,16,987,41,,,,,,,,,,
2020-08-11T16:01:33.767Z,582,124,16,1056,42,,,,,,,,,,
2020-08-11T19:11:26.837Z,584,126,17,1080,44,,,,,,,,,,
2020-08-12T03:47:07.760Z,592,133,18,768,46,,,,,,,,,,
2020-08-12T07:25:05.527Z,592,133,18,836,46,,,,,,,,,,
2020-08-12T15:17:58.400Z,596,136,18,1191,50,,,,,,,,,,
2020-08-12T19:11:10.037Z,601,141,19,1236,55,,,,,,,,,,
2020-08-13T03:25:43.083Z,603,132,18,1041,50,,,,,,,,,,
2020-08-13T07:09:54.410Z,604,133,18,1080,51,,,,,,,,,,
2020-08-13T16:00:11.437Z,612,141,19,1244,59,,,,,,,,,,
2020-08-13T19:08:43.847Z,616,145,19,1258,63,,,,,,,,,,
2020-08-14T04:07:12.977Z,617,143,19,1180,55,,,,,,,,,,
2020-08-14T07:09:23.630Z,617,143,19,1189,55,,,,,,,,,,
2020-08-14T14:40:20.690Z,618,141,19,1240,56,,,,,,,,,,
2020-08-15T17:25:39.157Z,632,154,20,1351,65,,,,,,,,,,
2020-08-15T19:20:16.850Z,632,154,20,1351,65,,,,,,,,,,
2020-08-16T03:40:33.850Z,632,153,20,1305,62,,,,,,,,,,
2020-08-16T07:05:21.820Z,632,153,20,1310,62,,,,,,,,,,
2020-08-16T15:53:14.997Z,632,153,20,1327,62,,,,,,,,,,
2020-08-17T07:41:16.500Z,633,154,20,1290,54,,,,,,,,,,
2020-08-17T15:51:53.560Z,636,153,20,1357,57,,,,,,,,,,
2020-08-17T19:45:07.133Z,638,155,21,1400,59,,,,,,,,,,
2020-08-18T03:43:43.340Z,641,153,20,1309,51,,,,,,,,,,
2020-08-18T07:12:06.963Z,641,153,20,1335,51,,,,,,,,,,
2020-08-18T16:09:29.920Z,636,143,19,1281,45,,,,,,,,,,
2020-08-18T18:55:23.410Z,638,145,19,1310,47,,,,,,,,,,
2020-08-19T04:45:32.057Z,651,152,20,1565,47,,,,,,,,,,
2020-08-19T07:38:12.840Z,653,153,20,1579,48,,,,,,,,,,
2020-08-19T17:09:53.377Z,656,155,21,1670,52,,,,,,,,,,
2020-08-19T19:17:48.483Z,656,155,21,1675,52,,,,,,,,,,
2020-08-20T04:10:29.010Z,656,152,20,1453,37,,,,,,,,,,
2020-08-20T07:18:04.130Z,656,153,20,1465,38,,,,,,,,,,
2020-08-20T15:31:52.293Z,659,155,21,1534,41,,,,,,,,,,
2020-08-20T20:06:10.983Z,660,156,21,1568,42,,,,,,,,,,
2020-08-21T14:16:16.233Z,670,138,18,1560,51,,,,,,,,,,
2020-08-22T16:59:01.583Z,679,143,19,1562,47,,,,,,,,,,
2020-08-22T19:30:43.107Z,680,144,19,1567,48,,,,,,,,,,
2020-08-23T03:21:42.033Z,681,140,19,1495,48,,,,,,,,,,
2020-08-23T07:36:27.623Z,681,140,19,1496,48,,,,,,,,,,
2020-08-23T16:06:03.420Z,685,144,19,1524,52,,,,,,,,,,
2020-08-23T19:24:52.200Z,687,146,19,1559,54,,,,,,,,,,
2020-08-24T03:42:44.113Z,687,143,19,1427,46,,,,,,,,,,
2020-08-24T06:59:28.390Z,686,143,19,1439,46,,,,,,,,,,
2020-08-24T15:46:46.347Z,691,139,18,1487,51,,,,,,,,,,
2020-08-24T19:04:20.180Z,692,140,19,1507,52,,,,,,,,,,
2020-08-25T04:04:12.517Z,693,118,16,1423,45,,,,,,,,,,
2020-08-25T07:23:14.767Z,693,118,16,1473,45,,,,,,,,,,
2020-08-25T15:24:02.787Z,698,119,16,1551,50,,,,,,,,,,
2020-08-25T18:55:55.140Z,698,119,16,1577,50,,,,,,,,,,
2020-08-26T03:18:59.150Z,703,114,15,942,50,,,,,,,,,,
2020-08-26T07:35:29.937Z,706,117,16,1164,53,,,,,,,,,,
2020-08-26T19:35:18.907Z,712,119,16,1276,58,,,,,,,,,,
2020-08-27T04:08:48.710Z,712,117,16,1162,51,,,,,,,,,,
2020-08-27T07:26:57.270Z,712,117,16,1178,51,,,,,,,,,,
2020-08-27T16:50:40.630Z,717,104,14,1264,56,,,,,,,,,,
2020-08-27T18:51:47.520Z,718,105,14,1283,57,,,,,,,,,,
2020-08-28T08:08:31.860Z,721,94,13,1209,48,,,,,,,,,,
2020-08-28T14:24:05.103Z,720,93,12,1234,47,,,,,,,,,,
2020-08-29T17:06:08.920Z,728,96,13,1256,47,,,,,,,,,,
2020-08-29T19:08:02.117Z,728,96,13,1264,47,,,,,,,,,,
2020-08-30T04:31:21.867Z,729,96,13,1188,42,,,,,,,,,,
2020-08-30T07:15:32.680Z,729,96,13,1196,42,,,,,,,,,,
2020-08-30T15:55:07.603Z,730,95,13,1217,43,,,,,,,,,,
2020-08-31T07:06:04.153Z,734,95,13,1268,47,,,,,,,,,,
2020-08-31T19:12:35.257Z,748,108,14,1368,61,,,,,,,,,,
2020-09-01T03:44:24.423Z,748,104,14,1143,49,,,,,,,,,,
2020-09-01T07:26:50.713Z,748,104,14,1170,49,,,,,,,,,,
2020-09-01T15:48:54.947Z,750,101,13,1266,51,,,,,,,,,,
2020-09-01T19:29:10.310Z,750,101,13,1294,51,,,,,,,,,,
2020-09-02T03:48:16.603Z,756,103,14,1071,50,,,,,,,,,,
2020-09-02T07:29:52.750Z,760,107,14,1093,54,,,,,,,,,,
2020-09-02T16:16:58.493Z,762,108,14,1455,56,,,,,,,,,,
2020-09-02T19:22:21.383Z,764,110,15,1480,58,,,,,,,,,,
2020-09-03T03:39:09.817Z,766,108,14,1378,52,,,,,,,,,,
2020-09-03T07:25:59.323Z,766,108,14,1391,52,,,,,,,,,,
2020-09-03T15:44:32.453Z,770,109,14,1506,56,,,,,,,,,,
2020-09-03T19:31:18.930Z,771,110,15,1573,57,,,,,,,,,,
2020-09-04T04:02:27.220Z,775,111,15,1531,54,,,,,,,,,,
2020-09-04T08:33:32.257Z,775,111,15,1538,54,,,,,,,,,,
2020-09-04T14:23:25.623Z,778,112,15,1587,57,,,,,,,,,,
2020-09-05T16:20:27.527Z,793,115,15,1658,69,,,,,,,,,,
2020-09-05T19:40:21.500Z,792,114,15,1663,68,,,,,,,,,,
2020-09-06T03:42:26.243Z,792,112,15,1571,60,,,,,,,,,,
2020-09-06T06:59:52.613Z,794,114,15,1582,62,,,,,,,,,,
2020-09-06T15:33:44.957Z,797,116,15,1610,65,,,,,,,,,,
2020-09-06T19:27:55.423Z,799,118,16,1640,67,,,,,,,,,,
2020-09-07T04:31:30.613Z,804,114,15,1469,54,,,,,,,,,,
2020-09-07T07:38:04.493Z,806,116,15,1490,56,,,,,,,,,,
2020-09-07T15:38:31.557Z,807,115,15,1532,57,,,,,,,,,,
2020-09-07T17:31:07.610Z,808,116,15,1560,58,,,,,,,,,,
2020-09-07T19:26:33.937Z,811,119,16,1574,61,,,,,,,,,,
2020-09-08T04:10:57.787Z,816,120,16,1407,59,,,,,,,,,,
2020-09-08T07:04:17.997Z,818,122,16,1426,61,,,,,,,,,,
2020-09-08T10:04:17.997Z,818,122,16,1426,61,,,,,,,,,,
2020-09-08T16:50:39.990Z,820,121,16,1458,63,,,,,,,,,,
2020-09-08T13:50:39.990Z,820,121,16,1458,63,,,,,,,,,,
2020-09-08T17:57:43.140Z,822,123,16,1492,65,,,,,,,,,,
2020-09-08T19:16:01.563Z,823,124,16,1516,66,,,,,,,,,,
2020-09-09T03:58:55.127Z,824,120,16,997,61,,,,,,,,,,
2020-09-09T07:10:04.400Z,825,121,16,1020,62,,,,,,,,,,
2020-09-09T16:03:07.143Z,833,129,17,1120,70,,,,,,,,,,
2020-09-09T19:24:24.427Z,835,131,17,1155,72,,,,,,,,,,
2020-09-10T03:38:32.990Z,845,138,18,1056,72,,,,,,,,,,
2020-09-10T07:15:19.630Z,847,140,19,1069,74,,,,,,,,,,
2020-09-10T15:24:42.677Z,859,152,20,1178,86,,,,,,,,,,
2020-09-10T19:30:55.320Z,861,154,20,1236,88,,,,,,,,,,
2020-09-11T03:51:43.293Z,869,156,21,1146,83,,,,,,,,,,
2020-09-11T08:42:54.063Z,873,160,21,1191,87,,,,,,,,,,
2020-09-11T14:29:56.553Z,877,164,22,1244,91,,,,,,,,,,
2020-09-12T15:56:23.313Z,904,188,25,1454,110,,,,,,,,,,
2020-09-12T18:54:25.377Z,906,190,25,1469,112,,,,,,,,,,
2020-09-13T03:53:52.697Z,908,189,25,1412,104,,,,,,,,,,
2020-09-13T07:29:45.173Z,914,195,26,1432,110,,,,,,,,,,
2020-09-13T19:08:27.253Z,923,201,27,1537,119,,,,,,,,,,
2020-09-14T04:11:56.110Z,932,209,28,1377,118,,,,,,,,,,
2020-09-14T06:59:27.110Z,934,211,28,1396,120,,,,,,,,,,
2020-09-14T16:34:45.150Z,941,207,28,1520,127,,,,,,,,,,
2020-09-14T19:31:17.433Z,951,217,29,1584,137,,,,,,,,,,
2020-09-15T08:06:23.923Z,962,218,29,1540,137,,,,,,,,,,
2020-09-15T18:10:56.213Z,973,229,30,1655,148,,,,,,,,,,
2020-09-16T04:02:59.200Z,989,240,32,1638,144,,,,,,,,,,
2020-09-16T15:33:14.613Z,993,242,32,1823,148,,,,,,,,,,
2020-09-16T19:28:27.657Z,997,246,33,1900,151,,,,,,,,,,
2020-09-17T03:52:02.707Z,1005,240,32,1771,138,,,,,,,,,,
2020-09-17T08:26:49.980Z,1006,240,32,1819,140,,,,,,,,,,
2020-09-17T18:44:47.930Z,1020,253,34,2036,153,,,,,,,,,,
2020-09-18T04:19:52.177Z,1033,257,34,1975,148,,,,,,,,,,
2020-09-18T13:53:20.213Z,1041,262,35,2105,156,,,,,,,,,,
2020-09-19T13:48:30.003Z,1070,273,36,2259,165,,,,,,,,,,
2020-09-20T16:12:55.767Z,1095,297,39,2474,171,,,,,,,,,,
2020-09-20T19:22:01.480Z,1103,304,40,2528,176,,,,,,,,,,
2020-09-21T03:36:24.980Z,1109,299,40,2290,157,,,,,,,,,,
2020-09-21T06:42:02.463Z,1112,302,40,2302,158,,,,,,,,,,
2020-09-21T15:28:22.733Z,1131,321,43,2559,169,,,,,,,,,,
2020-09-21T19:28:34.847Z,1136,325,43,2683,185,,,,,,,,,,
2020-09-23T06:41:59.770Z,1169,321,43,2449,174,,,,,,,,,,
2020-09-23T15:16:14.847Z,1180,332,44,2589,185,,,,,,,,,,
2020-09-23T19:41:03.030Z,1193,344,46,2687,198,,,,,,,,,,
2020-09-24T03:25:02.827Z,1200,331,44,2395,181,,,,,,,,,,
2020-09-24T15:11:00.710Z,1216,346,46,2540,197,,,,,,,,,,
2020-09-24T19:02:57.310Z,1232,359,48,2767,213,,,,,,,,,,
2020-09-25T03:39:17.927Z,1241,350,47,2509,191,,,,,,,,,,
2020-09-25T06:32:04.000Z,1241,347,46,2536,191,,,,,,,,,,
2020-09-25T13:23:59.210Z,1261,366,49,2667,211,,,,,,,,,,
2020-09-26T17:24:54.230Z,1312,397,53,2730,228,,,,,,,,,,
2020-09-26T19:01:59.350Z,1312,397,53,2750,228,,,,,,,,,,
2020-09-27T06:27:46.860Z,1321,399,53,2703,218,,,,,,,,,,
2020-09-27T13:38:11.377Z,1326,403,54,2736,223,,,,,,,,,,
2020-09-28T16:25:25.447Z,1340,380,51,2455,208,,,,,,,,,,
2020-09-28T19:29:29.173Z,1341,381,51,2459,209,,,,,,,,,,
2020-09-29T07:31:38.433Z,1342,362,48,1945,172,,,,,,,,,,
2020-09-29T15:20:10.623Z,1349,368,49,2009,179,,,,,,,,,,
2020-09-29T20:03:10.423Z,1353,372,49,2163,183,,,,,,,,,,
2020-09-30T03:41:07.500Z,1364,359,48,1954,166,,,,,,,,,,
2020-09-30T06:58:43.690Z,1366,360,48,1985,168,,,,,,,,,,
2020-09-30T15:56:55.587Z,1380,364,48,2100,182,,,,,,,,,,
2020-09-30T19:17:47.527Z,1386,366,49,2165,188,,,,,,,,,,
2020-10-01T04:23:29.923Z,1410,379,50,1909,170,,,,,,,,,,
2020-10-01T16:23:41.577Z,1432,388,52,2158,192,,,,,,,,,,
2020-10-01T18:59:49.017Z,1434,388,52,2225,194,,,,,,,,,,
2020-10-02T04:03:07.877Z,1446,386,51,1940,160,,,,,,,,,,
2020-10-02T06:38:41.127Z,1450,389,52,1981,164,,,,,,,,,,
2020-10-02T13:42:19.067Z,1457,393,52,2069,171,,,,,,,,,,
2020-10-03T15:01:48.953Z,1501,412,55,2030,179,,,,,,,,,,
2020-10-03T19:35:04.317Z,1502,407,54,2093,180,,,,,,,,,,
2020-10-04T03:23:43.410Z,1500,400,53,1969,160,,,,,,,,,,
2020-10-04T06:52:16.170Z,1500,400,53,1972,160,,,,,,,,,,
2020-10-04T15:45:12.993Z,1506,400,53,2009,166,,,,,,,,,,
2020-10-04T19:18:58.757Z,1511,401,53,2046,171,,,,,,,,,,
2020-10-05T04:36:06.167Z,1519,374,50,2165,180,,,,,,,,,,
2020-10-05T15:36:41.790Z,1523,360,48,2243,184,,,,,,,,,,
2020-10-05T19:08:42.103Z,1524,354,47,2286,185,,,,,,,,,,
2020-10-06T04:14:25.760Z,1532,347,46,2034,168,,,,,,,,,,
2020-10-06T07:12:48.303Z,1535,350,47,2070,171,,,,,,,,,,
2020-10-06T15:35:02.543Z,1540,337,45,2129,176,,,,,,,,,,
2020-10-06T19:06:32.717Z,1541,331,44,2154,177,,,,,,,,,,
2020-10-07T04:53:38.940Z,1555,318,42,2042,148,,,,,,,,,,
2020-10-07T06:31:21.220Z,1562,324,43,2108,155,,,,,,,,,,
2020-10-07T15:46:34.190Z,1568,325,43,2160,161,,,,,,,,,,
2020-10-07T19:20:37.117Z,1574,325,43,2244,167,,,,,,,,,,
2020-10-08T04:02:20.680Z,1585,320,43,1862,149,,,,,,,,,,
2020-10-08T07:33:44.060Z,1585,320,43,1883,149,,,,,,,,,,
2020-10-08T15:02:40.130Z,1590,315,42,1965,154,,,,,,,,,,
2020-10-08T19:33:27.153Z,1591,310,41,2008,155,,,,,,,,,,
2020-10-09T04:06:38.427Z,1595,294,39,2108,117,,,,,,,,,,
2020-10-09T06:43:33.320Z,1595,294,39,2121,117,,,,,,,,,,
2020-10-09T13:16:27.957Z,1602,301,40,2193,124,,,,,,,,,,
2020-10-10T15:03:40.197Z,1612,306,41,2152,115,,,,,,,,,,
2020-10-10T18:59:28.107Z,1612,306,41,2171,115,,,,,,,,,,
2020-10-11T03:42:40.760Z,1612,302,40,1985,94,,,,,,,,,,
2020-10-11T07:21:23.963Z,1612,302,40,1986,94,,,,,,,,,,
2020-10-11T15:42:03.660Z,1615,299,40,2019,97,,,,,,,,,,
2020-10-12T03:16:32.807Z,1619,252,34,1888,87,,,,,,,,,,
2020-10-12T07:01:58.960Z,1619,251,33,1905,87,,,,,,,,,,
2020-10-12T15:27:12.240Z,1622,253,34,1967,90,,,,,,,,,,
2020-10-12T19:10:43.703Z,1624,255,34,2022,92,,,,,,,,,,
2020-10-13T04:05:38.463Z,1629,251,33,1703,75,,,,,,,,,,
2020-10-13T09:38:53.503Z,1632,254,34,1724,78,,,,,,,,,,
2020-10-13T15:22:02.470Z,1633,247,33,2221,79,,,,,,,,,,
2020-10-13T19:28:52.873Z,1633,223,30,2249,79,,,,,,,,,,
2020-10-14T03:36:01.470Z,1633,213,28,2013,53,,,,,,,,,,
2020-10-14T06:32:36.137Z,1633,210,28,2054,53,,,,,,,,,,
2020-10-14T15:31:32.417Z,1636,204,27,2145,56,,,,,,,,,,
2020-10-15T03:58:03.073Z,1637,195,26,1913,43,,,,,,,,,,
2020-10-15T06:45:55.563Z,1638,195,26,1925,44,,,,,,,,,,
2020-10-15T15:01:48.260Z,1640,188,25,1982,47,,,,,,,,,,
2020-10-15T17:52:47.397Z,1640,186,25,2002,47,,,,,,,,,,
2020-10-16T05:18:51.633Z,1654,188,25,1539,52,,,,,,,,,,
2020-10-16T07:17:42.620Z,1654,188,25,1553,52,,,,,,,,,,
2020-10-16T13:06:06.527Z,1655,177,24,1579,53,,,,,,,,,,
2020-10-17T15:15:41.040Z,1668,178,24,1611,63,,,,,,,,,,
2020-10-17T18:23:29.967Z,1669,177,24,1625,64,,,,,,,,,,
2020-10-18T03:18:46.443Z,1666,165,22,1599,54,,,,,,,,,,
2020-10-18T07:09:23.643Z,1666,165,22,1617,54,,,,,,,,,,
2020-10-18T14:57:14.213Z,1666,165,22,1617,54,,,,,,,,,,
2020-10-19T04:09:11.843Z,1668,150,20,1739,47,,,,,,,,,,
2020-10-19T10:13:56.977Z,1669,150,20,1798,47,,,,,,,,,,
2020-10-19T15:11:03.883Z,1670,148,20,1830,48,,,,,,,,,,
