Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,270,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,274,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,275,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,275,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,275,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,275,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,283,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,284,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,287,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,285,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,288,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,289,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,290,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,295,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,301,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,302,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,307,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,310,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,315,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,323,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,325,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,325,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,325,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,328,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,333,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,342,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,342,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,346,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,349,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,352,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,362,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,377,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,386,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,388,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,401,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,406,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,409,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,420,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,446,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,445,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,449,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,460,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,466,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,468,239,,22915,119,,,,,,,,,,
2020-07-06T15:56:00.557Z,476,247,,23278,127,,,,,,,,,,
2020-07-07T05:00:26.417Z,481,251,,23492,120,,,,,,,,,,
2020-07-07T07:17:42.693Z,481,251,,23518,120,,,,,,,,,,
2020-07-07T15:43:32.247Z,485,253,,23760,125,,,,,,,,,,
2020-07-07T19:25:00.177Z,487,255,,24036,127,,,,,,,,,,
2020-07-08T07:31:44.197Z,491,260,,24172,105,,,,,,,,,,
2020-07-08T15:51:46.940Z,502,267,,24460,112,,,,,,,,,,
2020-07-08T19:34:17.600Z,519,281,,24696,128,,,,,,,,,,
2020-07-09T07:16:21.100Z,527,289,,24835,115,,,,,,,,,,
2020-07-09T15:38:11.660Z,538,297,,25162,126,,,,,,,,,,
2020-07-10T04:16:29.737Z,554,312,,25376,117,,,,,,,,,,
2020-07-10T07:28:43.630Z,554,311,,25402,117,,,,,,,,,,
2020-07-10T14:20:07.117Z,560,316,,25585,123,,,,,,,,,,
2020-07-11T17:08:38.350Z,590,344,,26100,138,,,,,,,,,,
2020-07-11T19:41:22.557Z,590,344,,26101,138,,,,,,,,,,
2020-07-12T07:32:17.937Z,600,352,,26342,130,,,,,,,,,,
2020-07-12T15:55:03.303Z,610,357,,26626,140,,,,,,,,,,
2020-07-13T12:16:23.697Z,628,367,,27126,144,,,,,,,,,,
2020-07-13T13:19:16.637Z,628,367,,27138,144,,,,,,,,,,
2020-07-13T19:28:55.597Z,645,381,,27382,161,,,,,,,,,,
2020-07-14T07:14:06.710Z,655,389,,27542,159,,,,,,,,,,
2020-07-14T20:02:00.000Z,672,403,,3778,175,,,,,,,,,,
2020-07-15T07:32:13.567Z,680,411,,3221,150,,,,,,,,,,
2020-07-15T15:35:31.323Z,696,423,,3580,166,,,,,,,,,,
2020-07-15T19:29:13.910Z,703,428,,3740,171,,,,,,,,,,
2020-07-16T07:40:17.937Z,719,438,,3404,160,,,,,,,,,,
2020-07-16T15:42:35.290Z,732,449,,3698,173,,,,,,,,,,
2020-07-16T19:09:09.317Z,744,460,,3986,186,,,,,,,,,,
2020-07-17T07:18:52.977Z,753,466,,3691,174,,,,,,,,,,
2020-07-17T15:27:31.690Z,769,480,,3935,191,,,,,,,,,,
2020-07-18T19:46:54.420Z,816,509,,3874,218,,,,,,,,,,
2020-07-19T07:20:25.537Z,820,510,,3350,198,,,,,,,,,,
2020-07-19T15:47:25.010Z,826,512,,3463,203,,,,,,,,,,
2020-07-19T19:39:30.623Z,829,515,,3527,206,,,,,,,,,,
2020-07-20T07:39:43.380Z,837,518,,3120,191,,,,,,,,,,
2020-07-20T16:08:51.117Z,859,538,,3349,212,,,,,,,,,,
2020-07-20T19:37:52.507Z,866,543,,3418,219,,,,,,,,,,
2020-07-21T07:10:01.260Z,879,549,,2902,206,,,,,,,,,,
2020-07-21T15:44:09.447Z,896,561,,3073,224,,,,,,,,,,
2020-07-21T19:34:08.533Z,914,577,,3228,242,,,,,,,,,,
2020-07-22T07:21:49.913Z,924,584,,2809,215,,,,,,,,,,
2020-07-22T16:17:18.653Z,961,619,,3089,253,,,,,,,,,,
2020-07-22T19:32:45.860Z,977,631,,3323,269,,,,,,,,,,
2020-07-23T07:43:44.770Z,989,636,,2782,250,,,,,,,,,,
2020-07-23T15:47:26.380Z,1003,644,,3194,263,,,,,,,,,,
2020-07-23T19:45:09.340Z,1011,651,,3429,271,,,,,,,,,,
2020-07-24T07:25:49.703Z,1038,664,,3181,260,,,,,,,,,,
2020-07-24T14:58:49.413Z,1054,676,,3391,276,,,,,,,,,,
2020-07-25T16:46:57.223Z,1075,697,,3335,262,,,,,,,,,,
2020-07-25T19:33:21.280Z,1080,701,,3363,267,,,,,,,,,,
2020-07-26T07:34:22.503Z,1095,716,,3155,259,,,,,,,,,,
2020-07-26T16:24:05.187Z,1112,731,,3264,276,,,,,,,,,,
2020-07-26T19:12:10.287Z,1116,733,,3326,280,,,,,,,,,,
2020-07-27T07:17:01.273Z,1141,756,,3135,270,,,,,,,,,,
2020-07-27T16:04:20.010Z,1164,778,,3413,295,,,,,,,,,,
2020-07-27T19:25:32.007Z,1178,792,,3508,309,,,,,,,,,,
2020-07-28T04:31:31.657Z,1182,660,,3128,261,,,,,,,,,,
2020-07-28T07:41:01.270Z,1185,663,,3305,264,,,,,,,,,,
2020-07-28T08:57:27.217Z,1187,665,36,3334,265,,,,,,,,,,
2020-07-28T07:41:01.270Z,1185,663,0,3305,264,,,,,,,,,,
2020-07-28T15:57:37.887Z,1200,679,36,3599,279,,,,,,,,,,
2020-07-28T19:05:30.067Z,1204,682,37,3645,283,,,,,,,,,,
2020-07-29T04:22:45.457Z,1206,680,36,3019,222,,,,,,,,,,
2020-07-29T07:43:55.003Z,1209,683,37,3119,225,,,,,,,,,,
2020-07-29T15:54:50.897Z,1230,704,38,3308,246,,,,,,,,,,
2020-07-29T19:47:41.590Z,1233,706,38,3382,249,,,,,,,,,,
2020-07-30T03:34:45.407Z,1244,678,36,2604,210,,,,,,,,,,
2020-07-30T07:55:24.147Z,1247,681,36,2625,213,,,,,,,,,,
2020-07-30T15:43:54.137Z,1257,562,30,2766,223,,,,,,,,,,
2020-07-30T19:25:51.573Z,1263,568,30,2869,229,,,,,,,,,,
2020-07-31T03:50:21.007Z,1274,563,30,2558,200,,,,,,,,,,
2020-07-31T07:43:12.217Z,1276,563,30,2687,202,,,,,,,,,,
2020-07-31T14:53:21.500Z,1278,566,30,2758,205,,,,,,,,,,
2020-08-01T16:50:00.920Z,1302,559,30,2815,208,,,,,,,,,,
2020-08-01T19:55:08.933Z,1303,560,30,2823,209,,,,,,,,,,
2020-08-02T03:33:43.373Z,1304,532,28,2525,168,,,,,,,,,,
2020-08-02T07:36:18.830Z,1306,534,29,2536,170,,,,,,,,,,
2020-08-02T14:56:26.230Z,1310,538,29,2603,173,,,,,,,,,,
2020-08-02T19:40:45.250Z,1318,543,29,2715,181,,,,,,,,,,
2020-08-03T04:12:58.747Z,1334,539,29,2284,153,,,,,,,,,,
2020-08-03T07:31:19.470Z,1336,541,29,2326,155,,,,,,,,,,
2020-08-03T15:51:59.413Z,1344,548,29,2410,162,,,,,,,,,,
2020-08-03T19:19:51.413Z,1348,552,30,2489,166,,,,,,,,,,
2020-08-04T04:24:01.137Z,1359,531,28,2055,149,,,,,,,,,,
2020-08-04T07:09:49.710Z,1367,539,29,2110,157,,,,,,,,,,
2020-08-04T16:04:10.740Z,1381,550,29,2671,170,,,,,,,,,,
2020-08-04T19:23:52.547Z,1385,553,30,2762,174,,,,,,,,,,
2020-08-05T04:07:11.650Z,1402,544,29,2445,157,,,,,,,,,,
2020-08-05T07:07:34.267Z,1402,544,29,2463,157,,,,,,,,,,
2020-08-05T15:57:55.180Z,1422,562,30,2621,178,,,,,,,,,,
2020-08-05T19:15:38.693Z,1427,567,30,2682,183,,,,,,,,,,
2020-08-06T03:52:50.220Z,1433,520,28,2549,161,,,,,,,,,,
2020-08-06T07:26:05.917Z,1435,522,28,2611,163,,,,,,,,,,
2020-08-06T15:55:31.993Z,1446,532,28,2736,174,,,,,,,,,,
2020-08-06T19:15:44.523Z,1449,535,29,2786,177,,,,,,,,,,
2020-08-07T03:46:04.500Z,1460,490,26,2483,157,,,,,,,,,,
2020-08-07T08:10:09.393Z,1460,490,26,2530,157,,,,,,,,,,
2020-08-07T14:40:50.180Z,1469,498,27,2662,166,,,,,,,,,,
2020-08-08T16:45:50.553Z,1495,498,27,2889,186,,,,,,,,,,
2020-08-08T19:27:22.153Z,1495,498,27,2897,186,,,,,,,,,,
2020-08-09T04:06:23.703Z,1498,478,26,2667,169,,,,,,,,,,
2020-08-09T07:14:20.263Z,1498,478,26,2675,169,,,,,,,,,,
