Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,17,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,18,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,18,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,18,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,18,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,18,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,19,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,19,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,19,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,19,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,19,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,19,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,19,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,19,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,19,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,19,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,19,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,19,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,19,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,19,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,19,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,19,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,19,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,19,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,21,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,21,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,21,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,21,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,21,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,21,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,21,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,21,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,21,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,21,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,21,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,21,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,21,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,21,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,23,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,23,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,24,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,23,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,23,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,23,<15,,1370,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,24,<15,,1374,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,24,<15,,1385,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,24,<15,,1385,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,24,<15,,1391,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,24,<15,,1457,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,24,<15,,1467,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,24,<15,,1474,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,30,<15,,126,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,34,15,,140,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,38,17,,149,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,38,17,,128,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,38,17,,130,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,38,17,,122,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,38,17,,122,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,39,18,,124,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,39,18,,130,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,39,18,,134,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,39,18,,110,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,39,18,,116,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,39,18,,117,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,39,16,,102,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,39,16,,111,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,39,16,20,111,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,39,16,0,111,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,39,16,20,122,6-10,,,,,,,,,,
2020-07-28T19:05:30.067Z,39,16,20,124,6-10,,,,,,,,,,
2020-07-29T04:22:45.457Z,39,16,20,95,6-10,,,,,,,,,,
2020-07-29T07:43:55.003Z,39,16,20,104,6-10,,,,,,,,,,
2020-07-29T15:54:50.897Z,39,16,20,107,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,39,16,20,110,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,40,16,20,90,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,40,16,20,92,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,40,15,19,95,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,40,15,19,100,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,41,16,20,97,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,41,16,20,100,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,43,18,23,111,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,49,24,30,123,11-14,,,,,,,,,,
2020-08-01T19:55:08.933Z,49,24,30,123,11-14,,,,,,,,,,
2020-08-02T03:33:43.373Z,49,24,30,110,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,49,24,30,110,6-10,,,,,,,,,,
2020-08-02T14:56:26.230Z,50,25,32,113,11-14,,,,,,,,,,
2020-08-02T19:40:45.250Z,50,25,32,114,11-14,,,,,,,,,,
2020-08-03T04:12:58.747Z,51,20,25,104,11-14,,,,,,,,,,
2020-08-03T07:31:19.470Z,51,20,25,108,11-14,,,,,,,,,,
2020-08-03T15:51:59.413Z,51,20,25,119,11-14,,,,,,,,,,
2020-08-03T19:19:51.413Z,51,20,25,132,11-14,,,,,,,,,,
2020-08-04T04:24:01.137Z,51,17,21,108,11-14,,,,,,,,,,
2020-08-04T07:09:49.710Z,51,17,21,112,11-14,,,,,,,,,,
2020-08-04T16:04:10.740Z,53,19,24,118,11-14,,,,,,,,,,
2020-08-04T19:23:52.547Z,53,19,24,118,11-14,,,,,,,,,,
2020-08-05T04:07:11.650Z,53,19,24,104,11-14,,,,,,,,,,
2020-08-05T07:07:34.267Z,53,19,24,107,11-14,,,,,,,,,,
2020-08-05T15:57:55.180Z,53,19,24,111,11-14,,,,,,,,,,
2020-08-05T19:15:38.693Z,54,20,25,117,11-14,,,,,,,,,,
2020-08-06T03:52:50.220Z,57,23,29,112,16,,,,,,,,,,
2020-08-06T07:26:05.917Z,58,24,30,114,17,,,,,,,,,,
