Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-07-13T13:19:16.637Z,<15,<15,,264,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,<15,<15,,274,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,<15,<15,,274,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,<15,<15,,26,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,<15,<15,,21,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,<15,<15,,23,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,<15,<15,,22,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,<15,<15,,41,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,<15,6,46,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,<15,0,46,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,<15,6,49,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,<15,6,51,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,<15,6,47,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,<15,6,49,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,<15,<15,6,50,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,<15,<15,6,51,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,<15,<15,6,42,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,<15,<15,6,43,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,<15,<15,5,43,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,<15,<15,5,44,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,<15,<15,6,33,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,<15,<15,6,34,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,<15,<15,6,34,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,<15,<15,6,36,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,<15,<15,6,37,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,<15,<15,7,33,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,<15,<15,7,33,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,<15,<15,7,33,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,<15,<15,7,33,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,<15,<15,8,35,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,<15,<15,8,35,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,<15,<15,8,36,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,<15,<15,7,37,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,<15,<15,7,25,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,<15,<15,7,25,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,<15,<15,7,30,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,<15,<15,12,43,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,<15,<15,13,38,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,<15,<15,13,39,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,<15,<15,13,43,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,<15,<15,13,47,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,<15,<15,13,51,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,<15,<15,13,51,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,<15,<15,13,54,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,<15,<15,13,54,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,<15,<15,13,50,6-10,,,,,,,,,,
2020-08-07T08:10:09.393Z,<15,<15,13,52,6-10,,,,,,,,,,
2020-08-07T14:40:50.180Z,<15,<15,13,61,6-10,,,,,,,,,,
2020-08-08T16:45:50.553Z,<15,<15,13,64,6-10,,,,,,,,,,
2020-08-08T19:27:22.153Z,<15,<15,13,64,6-10,,,,,,,,,,
2020-08-09T04:06:23.703Z,<15,<15,13,63,6-10,,,,,,,,,,
2020-08-09T07:14:20.263Z,<15,<15,13,63,6-10,,,,,,,,,,
2020-08-09T16:06:33.187Z,<15,<15,13,64,6-10,,,,,,,,,,
2020-08-09T19:26:37.877Z,<15,<15,13,67,6-10,,,,,,,,,,
2020-08-10T07:20:10.150Z,16,<15,16,70,6-10,,,,,,,,,,
2020-08-10T15:48:14.683Z,16,<15,16,79,6-10,,,,,,,,,,
2020-08-10T19:33:40.523Z,16,<15,16,81,6-10,,,,,,,,,,
2020-08-11T03:33:09.120Z,19,17,20,72,6-10,,,,,,,,,,
2020-08-11T07:23:01.417Z,20,18,21,73,6-10,,,,,,,,,,
2020-08-11T16:01:33.767Z,20,18,21,82,6-10,,,,,,,,,,
2020-08-11T19:11:26.837Z,20,18,21,89,6-10,,,,,,,,,,
2020-08-12T03:47:07.760Z,20,18,21,81,6-10,,,,,,,,,,
2020-08-12T07:25:05.527Z,20,18,21,85,6-10,,,,,,,,,,
2020-08-12T15:17:58.400Z,20,18,21,88,6-10,,,,,,,,,,
2020-08-12T19:11:10.037Z,20,18,21,88,6-10,,,,,,,,,,
2020-08-13T03:25:43.083Z,20,18,21,90,6-10,,,,,,,,,,
2020-08-13T07:09:54.410Z,20,18,21,91,6-10,,,,,,,,,,
2020-08-13T16:00:11.437Z,21,19,22,97,6-10,,,,,,,,,,
2020-08-13T19:08:43.847Z,22,20,23,99,6-10,,,,,,,,,,
2020-08-14T04:07:12.977Z,22,20,23,88,6-10,,,,,,,,,,
2020-08-14T07:09:23.630Z,22,20,23,92,6-10,,,,,,,,,,
2020-08-14T14:40:20.690Z,23,21,25,99,6-10,,,,,,,,,,
2020-08-15T17:25:39.157Z,24,22,26,103,11-14,,,,,,,,,,
2020-08-15T19:20:16.850Z,24,22,26,104,11-14,,,,,,,,,,
2020-08-16T03:40:33.850Z,24,22,26,102,11-14,,,,,,,,,,
2020-08-16T07:05:21.820Z,24,22,26,102,11-14,,,,,,,,,,
2020-08-16T15:53:14.997Z,24,22,26,102,11-14,,,,,,,,,,
2020-08-17T07:41:16.500Z,24,22,26,99,6-10,,,,,,,,,,
2020-08-17T15:51:53.560Z,24,22,26,105,6-10,,,,,,,,,,
2020-08-17T19:45:07.133Z,24,22,26,106,6-10,,,,,,,,,,
2020-08-18T03:43:43.340Z,24,22,26,81,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,24,22,26,82,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,24,22,26,86,1-5,,,,,,,,,,
2020-08-18T18:55:23.410Z,24,22,26,87,1-5,,,,,,,,,,
2020-08-19T04:45:32.057Z,24,22,26,70,1-5,,,,,,,,,,
2020-08-19T07:38:12.840Z,24,22,26,72,1-5,,,,,,,,,,
2020-08-19T17:09:53.377Z,25,20,23,79,1-5,,,,,,,,,,
2020-08-19T19:17:48.483Z,25,20,23,79,1-5,,,,,,,,,,
2020-08-20T04:10:29.010Z,25,20,23,71,1-5,,,,,,,,,,
2020-08-20T07:18:04.130Z,25,20,23,73,1-5,,,,,,,,,,
2020-08-20T15:31:52.293Z,29,24,28,87,6-10,,,,,,,,,,
2020-08-20T20:06:10.983Z,29,24,28,88,6-10,,,,,,,,,,
2020-08-21T14:16:16.233Z,29,23,27,83,6-10,,,,,,,,,,
2020-08-22T16:59:01.583Z,30,24,28,80,6-10,,,,,,,,,,
2020-08-22T19:30:43.107Z,30,24,28,80,6-10,,,,,,,,,,
2020-08-23T03:21:42.033Z,30,23,27,79,6-10,,,,,,,,,,
2020-08-23T07:36:27.623Z,30,23,27,79,6-10,,,,,,,,,,
2020-08-23T16:06:03.420Z,30,22,26,82,6-10,,,,,,,,,,
2020-08-23T19:24:52.200Z,30,22,26,86,6-10,,,,,,,,,,
2020-08-24T03:42:44.113Z,32,24,28,74,6-10,,,,,,,,,,
2020-08-24T06:59:28.390Z,32,24,28,74,6-10,,,,,,,,,,
2020-08-24T15:46:46.347Z,34,25,29,77,6-10,,,,,,,,,,
2020-08-24T19:04:20.180Z,34,25,29,79,6-10,,,,,,,,,,
2020-08-25T04:04:12.517Z,34,25,29,76,6-10,,,,,,,,,,
2020-08-25T07:23:14.767Z,34,25,29,75,6-10,,,,,,,,,,
2020-08-25T15:24:02.787Z,34,22,26,78,6-10,,,,,,,,,,
2020-08-25T18:55:55.140Z,34,22,26,79,6-10,,,,,,,,,,
2020-08-26T03:18:59.150Z,34,19,22,76,6-10,,,,,,,,,,
2020-08-26T07:35:29.937Z,34,19,22,79,6-10,,,,,,,,,,
2020-08-26T19:35:18.907Z,35,19,22,84,6-10,,,,,,,,,,
2020-08-27T04:08:48.710Z,35,19,22,79,6-10,,,,,,,,,,
2020-08-27T07:26:57.270Z,35,19,22,81,6-10,,,,,,,,,,
2020-08-27T16:50:40.630Z,36,19,22,85,6-10,,,,,,,,,,
2020-08-27T18:51:47.520Z,36,19,22,86,6-10,,,,,,,,,,
2020-08-28T08:08:31.860Z,37,19,22,86,6-10,,,,,,,,,,
2020-08-28T14:24:05.103Z,37,17,20,90,6-10,,,,,,,,,,
2020-08-29T17:06:08.920Z,37,17,20,94,6-10,,,,,,,,,,
2020-08-29T19:08:02.117Z,37,17,20,94,6-10,,,,,,,,,,
2020-08-30T04:31:21.867Z,37,17,20,90,6-10,,,,,,,,,,
2020-08-30T07:15:32.680Z,37,17,20,90,6-10,,,,,,,,,,
2020-08-30T15:55:07.603Z,37,17,20,92,6-10,,,,,,,,,,
2020-08-31T07:06:04.153Z,37,17,20,77,1-5,,,,,,,,,,
2020-08-31T19:12:35.257Z,37,<15,14,87,1-5,,,,,,,,,,
2020-09-01T03:44:24.423Z,37,<15,14,82,1-5,,,,,,,,,,
2020-09-01T07:26:50.713Z,37,<15,14,86,1-5,,,,,,,,,,
2020-09-01T15:48:54.947Z,37,<15,14,86,1-5,,,,,,,,,,
2020-09-01T19:29:10.310Z,37,<15,14,88,1-5,,,,,,,,,,
2020-09-02T03:48:16.603Z,37,<15,14,73,1-5,,,,,,,,,,
2020-09-02T07:29:52.750Z,37,<15,14,74,1-5,,,,,,,,,,
2020-09-02T16:16:58.493Z,37,<15,12,79,1-5,,,,,,,,,,
2020-09-02T19:22:21.383Z,37,<15,12,87,1-5,,,,,,,,,,
2020-09-03T03:39:09.817Z,37,<15,9,71,1-5,,,,,,,,,,
2020-09-03T07:25:59.323Z,37,<15,9,71,1-5,,,,,,,,,,
2020-09-03T15:44:32.453Z,37,<15,9,74,1-5,,,,,,,,,,
2020-09-03T19:31:18.930Z,37,<15,9,76,1-5,,,,,,,,,,
2020-09-04T04:02:27.220Z,37,<15,9,70,0,,,,,,,,,,
2020-09-04T08:33:32.257Z,37,<15,9,71,0,,,,,,,,,,
2020-09-04T14:23:25.623Z,37,<15,6,73,0,,,,,,,,,,
2020-09-05T16:20:27.527Z,37,<15,6,76,0,,,,,,,,,,
2020-09-05T19:40:21.500Z,38,<15,7,79,1-5,,,,,,,,,,
2020-09-06T03:42:26.243Z,38,<15,7,76,1-5,,,,,,,,,,
2020-09-06T06:59:52.613Z,38,<15,7,76,1-5,,,,,,,,,,
2020-09-06T15:33:44.957Z,40,<15,9,79,1-5,,,,,,,,,,
2020-09-06T19:27:55.423Z,41,<15,11,80,1-5,,,,,,,,,,
2020-09-07T04:31:30.613Z,41,<15,9,69,1-5,,,,,,,,,,
2020-09-07T07:38:04.493Z,41,<15,9,73,1-5,,,,,,,,,,
2020-09-07T15:38:31.557Z,41,<15,9,83,1-5,,,,,,,,,,
2020-09-07T17:31:07.610Z,41,<15,9,84,1-5,,,,,,,,,,
2020-09-07T19:26:33.937Z,41,<15,9,85,1-5,,,,,,,,,,
2020-09-08T04:10:57.787Z,41,<15,9,93,1-5,,,,,,,,,,
2020-09-08T07:04:17.997Z,41,<15,9,91,1-5,,,,,,,,,,
2020-09-08T10:04:17.997Z,41,<15,9,91,  1-5  ,,,,,,,,,,
2020-09-08T16:50:39.990Z,41,<15,9,93,  1-5  ,,,,,,,,,,
2020-09-08T13:50:39.990Z,41,<15,9,93,1-5,,,,,,,,,,
2020-09-08T17:57:43.140Z,42,<15,11,100,1-5,,,,,,,,,,
2020-09-08T19:16:01.563Z,42,<15,11,103,1-5,,,,,,,,,,
2020-09-09T03:58:55.127Z,42,<15,11,85,1-5,,,,,,,,,,
2020-09-09T07:10:04.400Z,42,<15,11,85,1-5,,,,,,,,,,
2020-09-09T16:03:07.143Z,43,<15,12,89,6-10,,,,,,,,,,
2020-09-09T19:24:24.427Z,43,<15,12,89,6-10,,,,,,,,,,
2020-09-10T03:38:32.990Z,44,<15,13,90,6-10,,,,,,,,,,
2020-09-10T07:15:19.630Z,44,<15,13,95,6-10,,,,,,,,,,
2020-09-10T15:24:42.677Z,45,<15,14,105,6-10,,,,,,,,,,
2020-09-10T19:30:55.320Z,46,<15,15,120,6-10,,,,,,,,,,
2020-09-11T03:51:43.293Z,48,15,18,119,11-14,,,,,,,,,,
2020-09-11T08:42:54.063Z,48,15,18,121,11-14,,,,,,,,,,
2020-09-11T14:29:56.553Z,48,15,18,134,11-14,,,,,,,,,,
2020-09-12T15:56:23.313Z,51,17,20,132,11-14,,,,,,,,,,
2020-09-12T18:54:25.377Z,51,17,20,132,11-14,,,,,,,,,,
2020-09-13T03:53:52.697Z,51,16,19,135,6-10,,,,,,,,,,
2020-09-13T07:29:45.173Z,51,16,19,139,6-10,,,,,,,,,,
2020-09-13T19:08:27.253Z,51,16,19,153,6-10,,,,,,,,,,
2020-09-14T04:11:56.110Z,53,17,20,131,11-14,,,,,,,,,,
2020-09-14T06:59:27.110Z,53,17,20,133,11-14,,,,,,,,,,
2020-09-14T16:34:45.150Z,53,17,20,145,11-14,,,,,,,,,,
2020-09-14T19:31:17.433Z,53,17,20,147,11-14,,,,,,,,,,
2020-09-15T08:06:23.923Z,54,17,20,134,11-14,,,,,,,,,,
2020-09-15T18:10:56.213Z,54,17,20,150,11-14,,,,,,,,,,
2020-09-16T04:02:59.200Z,54,17,20,150,11-14,,,,,,,,,,
2020-09-16T15:33:14.613Z,55,18,21,158,11-14,,,,,,,,,,
2020-09-16T19:28:27.657Z,56,19,22,161,11-14,,,,,,,,,,
2020-09-17T03:52:02.707Z,56,18,21,135,6-10,,,,,,,,,,
2020-09-17T08:26:49.980Z,57,19,22,138,11-14,,,,,,,,,,
2020-09-17T18:44:47.930Z,59,21,25,155,11-14,,,,,,,,,,
2020-09-18T04:19:52.177Z,59,20,23,126,11-14,,,,,,,,,,
2020-09-18T13:53:20.213Z,60,21,25,129,11-14,,,,,,,,,,
2020-09-19T13:48:30.003Z,62,22,26,143,11-14,,,,,,,,,,
2020-09-20T16:12:55.767Z,64,24,28,137,11-14,,,,,,,,,,
2020-09-20T19:22:01.480Z,64,24,28,138,11-14,,,,,,,,,,
2020-09-21T03:36:24.980Z,64,23,27,125,11-14,,,,,,,,,,
2020-09-21T06:42:02.463Z,64,23,27,125, 11-14 ,,,,,,,,,,
2020-09-21T15:28:22.733Z,65,24,28,131, 11-14 ,,,,,,,,,,
2020-09-21T19:28:34.847Z,65,24,28,134, 11-14 ,,,,,,,,,,
2020-09-23T06:41:59.770Z,65,22,26,103,  6-10  ,,,,,,,,,,
2020-09-23T15:16:14.847Z,65,22,26,105,  6-10  ,,,,,,,,,,
2020-09-23T19:41:03.030Z,65,22,26,119,  6-10  ,,,,,,,,,,
2020-09-24T03:25:02.827Z,62,19,22,97,  1-5  ,,,,,,,,,,
2020-09-24T15:11:00.710Z,62,19,22,102,  1-5  ,,,,,,,,,,
2020-09-24T19:02:57.310Z,62,19,22,105,  1-5  ,,,,,,,,,,
2020-09-25T03:39:17.927Z,65,22,26,107,  6-10  ,,,,,,,,,,
2020-09-25T06:32:04.000Z,65,22,26,108,  6-10  ,,,,,,,,,,
2020-09-25T13:23:59.210Z,66,23,27,109,  6-10  ,,,,,,,,,,
2020-09-26T17:24:54.230Z,67,23,27,101,  6-10  ,,,,,,,,,,
2020-09-26T19:01:59.350Z,67,23,27,101,  6-10  ,,,,,,,,,,
2020-09-27T06:27:46.860Z,69,25,29,112,  6-10  ,,,,,,,,,,
2020-09-27T13:38:11.377Z,69,25,29,114,  6-10  ,,,,,,,,,,
2020-09-28T16:25:25.447Z,72,26,30,103,  6-10  ,,,,,,,,,,
2020-09-28T19:29:29.173Z,72,26,30,103,  6-10  ,,,,,,,,,,
2020-09-29T07:31:38.433Z,73,26,30,95, 11-14 ,,,,,,,,,,
2020-09-29T15:20:10.623Z,73,25,29,99, 11-14 ,,,,,,,,,,
2020-09-29T20:03:10.423Z,73,25,29,100, 11-14 ,,,,,,,,,,
2020-09-30T03:41:07.500Z,76,25,29,89, 11-14 ,,,,,,,,,,
2020-09-30T06:58:43.690Z,76,25,29,97, 11-14 ,,,,,,,,,,
2020-09-30T15:56:55.587Z,78,27,32,107,16,,,,,,,,,,
2020-09-30T19:17:47.527Z,78,27,32,107,16,,,,,,,,,,
2020-10-01T04:23:29.923Z,79,27,32,90, 11-14 ,,,,,,,,,,
2020-10-01T16:23:41.577Z,79,27,32,93, 11-14 ,,,,,,,,,,
2020-10-01T18:59:49.017Z,79,27,32,94, 11-14 ,,,,,,,,,,
2020-10-02T04:03:07.877Z,80,28,33,82, 11-14 ,,,,,,,,,,
2020-10-02T06:38:41.127Z,80,27,32,97, 11-14 ,,,,,,,,,,
2020-10-02T13:42:19.067Z,80,27,32,99, 11-14 ,,,,,,,,,,
2020-10-03T15:01:48.953Z,80,26,30,86,  6-10  ,,,,,,,,,,
2020-10-03T19:35:04.317Z,80,26,30,87,  6-10  ,,,,,,,,,,
2020-10-04T03:23:43.410Z,80,26,30,78,  6-10  ,,,,,,,,,,
2020-10-04T06:52:16.170Z,80,26,30,78,  6-10  ,,,,,,,,,,
2020-10-04T15:45:12.993Z,80,26,30,78,  6-10  ,,,,,,,,,,
2020-10-04T19:18:58.757Z,80,26,30,78,  6-10  ,,,,,,,,,,
2020-10-05T04:36:06.167Z,80,25,29,81,  1-5  ,,,,,,,,,,
2020-10-05T15:36:41.790Z,81,25,29,87,  6-10  ,,,,,,,,,,
2020-10-05T19:08:42.103Z,81,25,29,89,  6-10  ,,,,,,,,,,
2020-10-06T04:14:25.760Z,82,26,30,83,  1-5  ,,,,,,,,,,
2020-10-06T07:12:48.303Z,82,26,30,85,  1-5  ,,,,,,,,,,
2020-10-06T15:35:02.543Z,82,26,30,89,  1-5  ,,,,,,,,,,
2020-10-06T19:06:32.717Z,82,26,30,89,  1-5  ,,,,,,,,,,
2020-10-07T04:53:38.940Z,81,15,18,63,  1-5  ,,,,,,,,,,
2020-10-07T06:31:21.220Z,81,15,18,66,  1-5  ,,,,,,,,,,
2020-10-07T15:46:34.190Z,81,15,18,77,  1-5  ,,,,,,,,,,
2020-10-07T19:20:37.117Z,83,17,20,79,  1-5  ,,,,,,,,,,
2020-10-08T04:02:20.680Z,83,16,19,75,  1-5  ,,,,,,,,,,
2020-10-08T07:33:44.060Z,83,16,19,77,  1-5  ,,,,,,,,,,
2020-10-08T15:02:40.130Z,84,17,20,79,  1-5  ,,,,,,,,,,
2020-10-08T19:33:27.153Z,84,17,20,81,  1-5  ,,,,,,,,,,
2020-10-09T04:06:38.427Z,84,15,18,69,  1-5  ,,,,,,,,,,
2020-10-09T06:43:33.320Z,85,16,19,73,  1-5  ,,,,,,,,,,
2020-10-09T13:16:27.957Z,85,16,19,75,  1-5  ,,,,,,,,,,
2020-10-10T15:03:40.197Z,85,16,19,76,  1-5  ,,,,,,,,,,
2020-10-10T18:59:28.107Z,85,16,19,76,  1-5  ,,,,,,,,,,
2020-10-11T03:42:40.760Z,85,15,18,75,  1-5  ,,,,,,,,,,
2020-10-11T07:21:23.963Z,85,15,18,75,  1-5  ,,,,,,,,,,
2020-10-11T15:42:03.660Z,86,<15,15,75,  6-10  ,,,,,,,,,,
2020-10-12T03:16:32.807Z,90,17,20,71,  6-10  ,,,,,,,,,,
2020-10-12T07:01:58.960Z,90,17,20,78,  6-10  ,,,,,,,,,,
2020-10-12T15:27:12.240Z,90,17,20,80,  6-10  ,,,,,,,,,,
2020-10-12T19:10:43.703Z,90,17,20,81,  6-10  ,,,,,,,,,,
2020-10-13T04:05:38.463Z,88,15,18,74,  6-10  ,,,,,,,,,,
2020-10-13T09:38:53.503Z,88,15,18,75,  6-10  ,,,,,,,,,,
2020-10-13T15:22:02.470Z,88,15,18,96,  6-10  ,,,,,,,,,,
2020-10-13T19:28:52.873Z,88,15,18,101,  6-10  ,,,,,,,,,,
2020-10-14T03:36:01.470Z,89,16,19,101,  6-10  ,,,,,,,,,,
2020-10-14T06:32:36.137Z,89,<15,15,103,  6-10  ,,,,,,,,,,
2020-10-14T15:31:32.417Z,89,<15,15,117,  6-10  ,,,,,,,,,,
2020-10-15T03:58:03.073Z,89,<15,14,106,  1-5  ,,,,,,,,,,
2020-10-15T06:45:55.563Z,89,<15,14,106,  1-5  ,,,,,,,,,,
2020-10-15T15:01:48.260Z,89,<15,14,104,  1-5  ,,,,,,,,,,
2020-10-15T17:52:47.397Z,89,<15,14,104,  1-5  ,,,,,,,,,,
2020-10-16T05:18:51.633Z,89,<15,13,111,  1-5  ,,,,,,,,,,
2020-10-16T07:17:42.620Z,90,<15,14,113,  6-10  ,,,,,,,,,,
2020-10-16T13:06:06.527Z,90,<15,14,114,  6-10  ,,,,,,,,,,
2020-10-17T15:15:41.040Z,92,<15,16,100,  6-10  ,,,,,,,,,,
2020-10-17T18:23:29.967Z,92,<15,16,101,  6-10  ,,,,,,,,,,
2020-10-18T03:18:46.443Z,92,<15,16,104,  6-10  ,,,,,,,,,,
2020-10-18T07:09:23.643Z,92,<15,16,104,  6-10  ,,,,,,,,,,
2020-10-18T14:57:14.213Z,92,<15,16,104,  6-10  ,,,,,,,,,,
2020-10-19T04:09:11.843Z,92,<15,15,111,  1-5  ,,,,,,,,,,
2020-10-19T10:13:56.977Z,92,<15,15,121,  1-5  ,,,,,,,,,,
2020-10-19T15:11:03.883Z,92,<15,15,121,  1-5  ,,,,,,,,,,
2020-10-19T19:11:45.207Z,92,<15,14,121,  1-5  ,,,,,,,,,,
2020-10-20T04:50:00.180Z,96,16,19,102,  1-5  ,,,,,,,,,,
2020-10-20T06:59:42.170Z,96,16,19,102,  1-5  ,,,,,,,,,,
2020-10-20T15:52:03.357Z,96,15,18,109,  1-5  ,,,,,,,,,,
2020-10-20T18:57:53.083Z,98,16,19,114,  6-10  ,,,,,,,,,,
2020-10-21T03:17:23.007Z,98,17,20,99,  6-10  ,,,,,,,,,,
2020-10-21T06:35:52.513Z,98,17,20,101,  6-10  ,,,,,,,,,,
2020-10-21T17:49:22.460Z,98,<15,16,113,  6-10  ,,,,,,,,,,
2020-10-21T19:13:13.693Z,98,<15,16,114,  6-10  ,,,,,,,,,,
2020-10-22T05:12:52.860Z,98,15,18,86,  6-10  ,,,,,,,,,,
2020-10-22T08:16:11.117Z,98,15,18,87,  6-10  ,,,,,,,,,,
2020-10-22T15:35:19.900Z,104,19,22,93, 11-14 ,,,,,,,,,,
2020-10-22T18:39:58.803Z,104,19,22,93, 11-14 ,,,,,,,,,,
2020-10-23T04:15:45.000Z,105,20,23,106, 11-14 ,,,,,,,,,,
2020-10-23T08:17:26.750Z,106,21,25,107, 11-14 ,,,,,,,,,,
2020-10-23T13:17:17.550Z,106,20,23,107, 11-14 ,,,,,,,,,,
2020-10-24T14:24:35.970Z,106,19,22,94, 11-14 ,,,,,,,,,,
2020-10-24T18:57:34.583Z,106,19,22,94, 11-14 ,,,,,,,,,,
2020-10-25T21:24:35.750Z,106,19,22,97, 11-14 ,,,,,,,,,,
2020-10-26T04:40:34.257Z,108,21,25,111, 11-14 ,,,,,,,,,,
2020-10-26T07:37:44.503Z,108,21,25,117, 11-14 ,,,,,,,,,,
2020-10-26T15:07:14.570Z,108,21,25,129, 11-14 ,,,,,,,,,,
2020-10-26T19:48:13.693Z,108,20,23,131, 11-14 ,,,,,,,,,,
2020-10-27T15:43:10.853Z,111,23,27,125,  6-10  ,,,,,,,,,,
2020-10-27T18:59:57.577Z,111,23,27,126,  6-10  ,,,,,,,,,,
2020-10-28T03:39:55.760Z,113,25,29,113, 11-14 ,,,,,,,,,,
2020-10-28T15:52:26.623Z,114,26,30,120, 11-14 ,,,,,,,,,,
2020-10-28T20:20:55.410Z,114,26,30,122, 11-14 ,,,,,,,,,,
2020-10-29T04:45:36.930Z,116,28,33,109, 11-14 ,,,,,,,,,,
2020-10-29T17:23:27.117Z,116,28,33,112, 11-14 ,,,,,,,,,,
2020-10-30T08:26:24.713Z,119,31,36,110, 11-14 ,,,,,,,,,,
2020-10-31T13:42:46.393Z,115,26,30,121, 11-14 ,,,,,,,,,,
2020-10-31T19:37:00.147Z,115,26,30,124, 11-14 ,,,,,,,,,,
2020-11-01T03:52:30.903Z,115,26,30,126, 11-14 ,,,,,,,,,,
2020-11-01T07:21:52.370Z,115,26,30,127, 11-14 ,,,,,,,,,,
2020-11-01T15:26:36.833Z,115,25,29,127, 11-14 ,,,,,,,,,,
2020-11-01T20:49:06.480Z,115,25,29,129, 11-14 ,,,,,,,,,,
2020-11-02T03:27:15.743Z,115,25,29,120, 11-14 ,,,,,,,,,,
2020-11-02T07:28:22.397Z,116,26,30,132, 11-14 ,,,,,,,,,,
2020-11-02T16:15:59.947Z,116,26,30,145, 11-14 ,,,,,,,,,,
2020-11-02T18:57:59.520Z,116,25,29,145, 11-14 ,,,,,,,,,,
2020-11-03T04:22:19.280Z,117,26,30,112,  6-10  ,,,,,,,,,,
2020-11-03T07:55:28.423Z,117,26,30,113,  6-10  ,,,,,,,,,,
2020-11-03T16:08:17.297Z,117,26,30,118,  6-10  ,,,,,,,,,,
2020-11-03T19:29:46.060Z,117,25,29,121,  6-10  ,,,,,,,,,,
2020-11-04T04:45:17.480Z,118,26,30,114,  6-10  ,,,,,,,,,,
2020-11-04T08:10:30.510Z,118,26,30,114,  6-10  ,,,,,,,,,,
2020-11-04T16:13:19.640Z,120,28,33,167, 11-14 ,,,,,,,,,,
2020-11-04T19:40:42.333Z,120,27,32,168, 11-14 ,,,,,,,,,,
2020-11-05T04:08:38.337Z,120,27,32,150,  6-10  ,,,,,,,,,,
2020-11-05T08:49:08.653Z,120,27,32,155,  6-10  ,,,,,,,,,,
2020-11-05T17:30:08.480Z,121,24,28,159,  6-10  ,,,,,,,,,,
2020-11-05T19:11:27.703Z,121,23,27,159,  6-10  ,,,,,,,,,,
2020-11-06T03:57:49.330Z,122,24,28,144,  6-10  ,,,,,,,,,,
2020-11-06T07:17:18.060Z,122,24,28,152,  6-10  ,,,,,,,,,,
2020-11-06T13:25:15.137Z,122,22,26,155,  6-10  ,,,,,,,,,,
2020-11-07T14:58:45.037Z,122,21,25,147,  6-10  ,,,,,,,,,,
2020-11-07T18:31:48.000Z,122,21,25,147,  6-10  ,,,,,,,,,,
2020-11-08T03:40:08.473Z,122,21,25,127,  1-5  ,,,,,,,,,,
2020-11-08T08:40:18.263Z,122,21,25,127,  1-5  ,,,,,,,,,,
2020-11-08T16:30:34.903Z,122,16,19,129,  1-5  ,,,,,,,,,,
2020-11-09T03:40:03.347Z,122,<15,16,137,  1-5  ,,,,,,,,,,
2020-11-09T07:28:49.713Z,123,15,18,150,  1-5  ,,,,,,,,,,
2020-11-09T15:59:53.473Z,123,<15,16,153,  1-5  ,,,,,,,,,,
