Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-12-11T05:54:20.180Z,,,,,,<15,,13.3,0,0.0447761194029,3.1,green,green,,
2020-12-11T08:51:27.507Z,,,,,,<15,,13.3,0,0.0447761194029,3.1,green,green,,
2020-12-11T11:40:43.183Z,,,,,,<15,,13.3,0,0.0447761194029,3.1,green,green,,
2020-12-12T13:42:25.367Z,,,,,,<15,,13.3,0,0.0375,3.4,green,green,,
2020-12-12T19:49:13.440Z,,,,,,<15,,13.3,0,0.0375,3.4,green,green,,
2020-12-13T03:58:20.980Z,,,,,,<15,,22.2,0,0.054945054945,3.7,green,green,,
2020-12-13T07:58:55.543Z,,,,,,<15,,22.2,0,0.054945054945,3.7,green,green,,
2020-12-13T16:21:49.793Z,,,,,,<15,,22.2,0,0.054945054945,3.7,green,green,,
2020-12-13T19:55:14.330Z,,,,,,<15,,22.2,0,0.054945054945,3.7,green,green,,
2020-12-14T04:43:13.087Z,,,,,,<15,,26.6,0,0.0545454545454,4.2,green,green,,
2020-12-14T08:13:31.700Z,,,,,,<15,,26.6,0,0.0545454545454,4.2,green,green,,
2020-12-14T16:19:28.703Z,,,,,,<15,,26.6,0,0.0545454545454,4.2,green,green,,
2020-12-14T19:50:07.697Z,,,,,,<15,,26.6,0,0.0545454545454,4.2,green,green,,
2020-12-15T03:52:05.163Z,,,,,,<15,,17.8,0,0.0327868852459,4.2,green,green,,
2020-12-15T08:33:01.617Z,,,,,,<15,,17.8,0,0.0327868852459,4.2,green,green,,
2020-12-16T05:04:52.817Z,,,,,,<15,,13.3,0,0.0225563909774,4,green,green,,
2020-12-16T07:26:35.617Z,,,,,,<15,,13.3,0,0.0225563909774,4,green,green,,
2020-12-16T16:13:51.950Z,,,,,,<15,,13.3,0,0.0214285714285,4,green,green,,
2020-12-16T20:11:43.260Z,,,,,,<15,,13.3,0,0.0214285714285,4,green,green,,
2020-12-17T07:59:35.357Z,,,,,,<15,,8.9,0,0.0137931034482,4,green,green,,
2020-12-17T16:39:19.050Z,,,,,,<15,,13.3,0,0.0205479452054,4,green,green,,
2020-12-17T19:49:35.037Z,,,,,,<15,,13.3,0,0.0205479452054,4,green,green,,
2020-12-18T08:00:03.750Z,,,,,,<15,,22.2,0,0.0347222222222,4,green,green,,
2020-12-18T10:20:49.337Z,,,,,,<15,,22.2,0,0.0342465753424,4,green,green,,
2020-12-18T12:42:11.287Z,,,,,,<15,,22.2,0,0.0342465753424,4,green,green,,
2020-12-19T13:51:24.143Z,,,,,,<15,,22.2,0,0.034965034965,4,green,green,,
