Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-20T16:08:51.117Z,<15,<15,,43,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,<15,<15,,44,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,<15,<15,,43,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,<15,<15,,44,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,<15,<15,,45,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,<15,<15,,42,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,15,<15,,44,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,17,<15,,47,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,18,15,,45,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,18,15,,46,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,18,15,,47,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,18,15,,36,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,18,15,,37,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,18,15,,37,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,18,15,,37,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,18,15,,35,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,18,15,,35,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,19,16,,38,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,20,17,,27,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,20,17,,27,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,20,17,,27,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,20,17,,26,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,20,17,,27,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,20,17,83,27,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,20,17,0,27,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,21,18,88,32,6-10,,,,,,,,,,
2020-07-28T19:05:30.067Z,21,18,88,33,6-10,,,,,,,,,,
2020-07-29T04:22:45.457Z,21,18,88,28,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,21,18,88,28,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,21,18,88,28,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,21,18,88,28,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,21,17,83,25,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,21,17,83,25,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,21,<15,44,25,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,21,<15,44,25,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,21,<15,44,20,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,21,<15,44,21,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,21,<15,44,21,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,21,<15,44,20,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,21,<15,44,20,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,21,<15,44,16,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,21,<15,44,16,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,21,<15,44,16,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,21,<15,44,16,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,21,<15,44,14,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,21,<15,44,15,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,21,<15,44,16,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,21,<15,44,16,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,21,<15,20,8,0,,,,,,,,,,
2020-08-04T07:09:49.710Z,21,<15,20,8,0,,,,,,,,,,
2020-08-04T16:04:10.740Z,21,<15,20,8,0,,,,,,,,,,
2020-08-04T19:23:52.547Z,21,<15,20,8,0,,,,,,,,,,
2020-08-05T04:07:11.650Z,21,<15,15,8,0,,,,,,,,,,
2020-08-05T07:07:34.267Z,21,<15,15,10,0,,,,,,,,,,
2020-08-05T15:57:55.180Z,21,<15,15,10,0,,,,,,,,,,
2020-08-05T19:15:38.693Z,21,<15,15,10,0,,,,,,,,,,
2020-08-06T03:52:50.220Z,21,<15,10,9,0,,,,,,,,,,
2020-08-06T07:26:05.917Z,21,<15,10,9,0,,,,,,,,,,
2020-08-06T15:55:31.993Z,21,<15,10,9,0,,,,,,,,,,
2020-08-06T19:15:44.523Z,21,<15,10,10,0,,,,,,,,,,
2020-08-07T03:46:04.500Z,21,<15,10,6,0,,,,,,,,,,
2020-08-07T08:10:09.393Z,21,<15,10,6,0,,,,,,,,,,
2020-08-07T14:40:50.180Z,21,<15,10,6,0,,,,,,,,,,
2020-08-08T16:45:50.553Z,21,0,0,6,0,,,,,,,,,,
2020-08-08T19:27:22.153Z,21,0,0,6,0,,,,,,,,,,
2020-08-09T04:06:23.703Z,21,0,0,6,0,,,,,,,,,,
2020-08-09T07:14:20.263Z,21,0,0,6,0,,,,,,,,,,
2020-08-09T16:06:33.187Z,21,0,0,7,0,,,,,,,,,,
2020-08-09T19:26:37.877Z,21,0,0,7,0,,,,,,,,,,
2020-08-10T07:20:10.150Z,21,0,0,5,0,,,,,,,,,,
2020-08-10T15:48:14.683Z,21,0,0,5,0,,,,,,,,,,
2020-08-10T19:33:40.523Z,21,0,0,6,0,,,,,,,,,,
2020-08-11T03:33:09.120Z,21,0,0,6,0,,,,,,,,,,
2020-08-11T07:23:01.417Z,21,0,0,6,0,,,,,,,,,,
2020-08-11T16:01:33.767Z,21,0,0,7,0,,,,,,,,,,
2020-08-11T19:11:26.837Z,21,0,0,7,0,,,,,,,,,,
2020-08-12T03:47:07.760Z,21,0,0,6,0,,,,,,,,,,
2020-08-12T07:25:05.527Z,21,0,0,6,0,,,,,,,,,,
2020-08-12T15:17:58.400Z,21,0,0,7,0,,,,,,,,,,
2020-08-12T19:11:10.037Z,21,0,0,7,0,,,,,,,,,,
2020-08-13T03:25:43.083Z,21,0,0,7,0,,,,,,,,,,
2020-08-13T07:09:54.410Z,21,0,0,7,0,,,,,,,,,,
2020-08-13T16:00:11.437Z,21,0,0,9,0,,,,,,,,,,
2020-08-13T19:08:43.847Z,21,0,0,9,0,,,,,,,,,,
2020-08-14T04:07:12.977Z,21,0,0,9,0,,,,,,,,,,
2020-08-14T07:09:23.630Z,21,0,0,9,0,,,,,,,,,,
2020-08-14T14:40:20.690Z,21,0,0,10,0,,,,,,,,,,
2020-08-15T17:25:39.157Z,21,0,0,12,0,,,,,,,,,,
2020-08-15T19:20:16.850Z,21,0,0,12,0,,,,,,,,,,
2020-08-16T03:40:33.850Z,21,0,0,11,0,,,,,,,,,,
2020-08-16T07:05:21.820Z,21,0,0,11,0,,,,,,,,,,
2020-08-16T15:53:14.997Z,21,0,0,11,0,,,,,,,,,,
2020-08-17T07:41:16.500Z,21,0,0,14,0,,,,,,,,,,
2020-08-17T15:51:53.560Z,21,0,0,15,0,,,,,,,,,,
2020-08-17T19:45:07.133Z,21,0,0,15,0,,,,,,,,,,
2020-08-18T03:43:43.340Z,21,0,0,13,0,,,,,,,,,,
2020-08-18T07:12:06.963Z,21,0,0,13,0,,,,,,,,,,
2020-08-18T16:09:29.920Z,21,0,0,13,0,,,,,,,,,,
2020-08-18T18:55:23.410Z,21,0,0,13,0,,,,,,,,,,
2020-08-19T04:45:32.057Z,21,0,0,11,0,,,,,,,,,,
2020-08-19T07:38:12.840Z,21,0,0,11,0,,,,,,,,,,
2020-08-19T17:09:53.377Z,22,<15,5,12,1-5,,,,,,,,,,
2020-08-19T19:17:48.483Z,22,<15,5,12,1-5,,,,,,,,,,
2020-08-20T04:10:29.010Z,22,<15,5,9,1-5,,,,,,,,,,
2020-08-20T07:18:04.130Z,22,<15,5,9,1-5,,,,,,,,,,
2020-08-20T15:31:52.293Z,22,<15,5,10,1-5,,,,,,,,,,
2020-08-20T20:06:10.983Z,22,<15,5,15,1-5,,,,,,,,,,
2020-08-21T14:16:16.233Z,22,<15,5,18,1-5,,,,,,,,,,
2020-08-22T16:59:01.583Z,22,<15,5,17,1-5,,,,,,,,,,
2020-08-22T19:30:43.107Z,22,<15,5,17,1-5,,,,,,,,,,
2020-08-23T03:21:42.033Z,22,<15,5,15,1-5,,,,,,,,,,
2020-08-23T07:36:27.623Z,22,<15,5,15,1-5,,,,,,,,,,
2020-08-23T16:06:03.420Z,22,<15,5,18,1-5,,,,,,,,,,
2020-08-23T19:24:52.200Z,22,<15,5,18,1-5,,,,,,,,,,
2020-08-24T03:42:44.113Z,22,<15,5,18,1-5,,,,,,,,,,
2020-08-24T06:59:28.390Z,22,<15,5,19,1-5,,,,,,,,,,
2020-08-24T15:46:46.347Z,22,<15,5,20,1-5,,,,,,,,,,
2020-08-24T19:04:20.180Z,22,<15,5,20,1-5,,,,,,,,,,
2020-08-25T04:04:12.517Z,22,<15,5,24,1-5,,,,,,,,,,
2020-08-25T07:23:14.767Z,22,<15,5,25,1-5,,,,,,,,,,
2020-08-25T15:24:02.787Z,22,<15,5,27,1-5,,,,,,,,,,
2020-08-25T18:55:55.140Z,22,<15,5,27,1-5,,,,,,,,,,
2020-08-26T03:18:59.150Z,22,<15,5,28,0,,,,,,,,,,
2020-08-26T07:35:29.937Z,22,<15,5,28,0,,,,,,,,,,
2020-08-26T19:35:18.907Z,22,<15,5,28,0,,,,,,,,,,
2020-08-27T04:08:48.710Z,22,<15,5,23,0,,,,,,,,,,
2020-08-27T07:26:57.270Z,22,<15,5,23,0,,,,,,,,,,
2020-08-27T16:50:40.630Z,22,<15,5,23,0,,,,,,,,,,
2020-08-27T18:51:47.520Z,22,<15,5,23,0,,,,,,,,,,
2020-08-28T08:08:31.860Z,22,<15,5,20,0,,,,,,,,,,
2020-08-28T14:24:05.103Z,22,<15,5,20,0,,,,,,,,,,
2020-08-29T17:06:08.920Z,22,<15,5,19,0,,,,,,,,,,
2020-08-29T19:08:02.117Z,22,<15,5,19,0,,,,,,,,,,
2020-08-30T04:31:21.867Z,22,<15,5,17,0,,,,,,,,,,
2020-08-30T07:15:32.680Z,22,<15,5,17,0,,,,,,,,,,
2020-08-30T15:55:07.603Z,22,<15,5,17,0,,,,,,,,,,
2020-08-31T07:06:04.153Z,22,<15,5,14,0,,,,,,,,,,
2020-08-31T19:12:35.257Z,23,<15,10,17,1-5,,,,,,,,,,
2020-09-01T03:44:24.423Z,23,<15,10,10,1-5,,,,,,,,,,
2020-09-01T07:26:50.713Z,23,<15,10,10,1-5,,,,,,,,,,
2020-09-01T15:48:54.947Z,23,<15,10,11,1-5,,,,,,,,,,
2020-09-01T19:29:10.310Z,23,<15,10,11,1-5,,,,,,,,,,
2020-09-02T03:48:16.603Z,23,<15,10,9,1-5,,,,,,,,,,
2020-09-02T07:29:52.750Z,23,<15,10,9,1-5,,,,,,,,,,
2020-09-02T16:16:58.493Z,23,<15,10,10,1-5,,,,,,,,,,
2020-09-02T19:22:21.383Z,23,<15,10,12,1-5,,,,,,,,,,
2020-09-03T03:39:09.817Z,23,<15,10,11,1-5,,,,,,,,,,
2020-09-03T07:25:59.323Z,23,<15,10,11,1-5,,,,,,,,,,
2020-09-03T15:44:32.453Z,23,<15,10,12,1-5,,,,,,,,,,
2020-09-03T19:31:18.930Z,23,<15,10,12,1-5,,,,,,,,,,
2020-09-04T04:02:27.220Z,24,<15,15,19,1-5,,,,,,,,,,
2020-09-04T08:33:32.257Z,24,<15,15,19,1-5,,,,,,,,,,
2020-09-04T14:23:25.623Z,24,<15,15,21,1-5,,,,,,,,,,
2020-09-05T16:20:27.527Z,25,<15,20,25,1-5,,,,,,,,,,
2020-09-05T19:40:21.500Z,25,<15,20,25,1-5,,,,,,,,,,
2020-09-06T03:42:26.243Z,25,<15,20,24,1-5,,,,,,,,,,
2020-09-06T06:59:52.613Z,25,<15,20,24,1-5,,,,,,,,,,
2020-09-06T15:33:44.957Z,25,<15,20,24,1-5,,,,,,,,,,
2020-09-06T19:27:55.423Z,25,<15,20,24,1-5,,,,,,,,,,
2020-09-07T04:31:30.613Z,25,<15,20,22,1-5,,,,,,,,,,
2020-09-07T07:38:04.493Z,25,<15,20,22,1-5,,,,,,,,,,
2020-09-07T15:38:31.557Z,25,<15,20,22,1-5,,,,,,,,,,
2020-09-07T17:31:07.610Z,25,<15,20,22,1-5,,,,,,,,,,
2020-09-07T19:26:33.937Z,25,<15,20,23,1-5,,,,,,,,,,
2020-09-08T04:10:57.787Z,25,<15,20,24,1-5,,,,,,,,,,
2020-09-08T07:04:17.997Z,25,<15,20,24,1-5,,,,,,,,,,
2020-09-08T10:04:17.997Z,25,<15,20,24,  1-5  ,,,,,,,,,,
2020-09-08T16:50:39.990Z,25,<15,20,24,  1-5  ,,,,,,,,,,
2020-09-08T13:50:39.990Z,25,<15,20,24,1-5,,,,,,,,,,
2020-09-08T17:57:43.140Z,25,<15,20,26,1-5,,,,,,,,,,
2020-09-08T19:16:01.563Z,25,<15,20,26,1-5,,,,,,,,,,
2020-09-09T03:58:55.127Z,25,<15,20,24,1-5,,,,,,,,,,
2020-09-09T07:10:04.400Z,26,<15,25,24,1-5,,,,,,,,,,
2020-09-09T16:03:07.143Z,26,<15,25,28,1-5,,,,,,,,,,
2020-09-09T19:24:24.427Z,26,<15,25,28,1-5,,,,,,,,,,
2020-09-10T03:38:32.990Z,25,<15,20,23,1-5,,,,,,,,,,
2020-09-10T07:15:19.630Z,25,<15,20,24,1-5,,,,,,,,,,
