Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-21T07:20:11.780Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,<15,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,<15,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,<15,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,<15,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,<15,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,<15,,,,,,,,,,,,,,
2020-07-13T12:16:23.697Z,<15,<15,,680,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,<15,<15,,44,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,<15,<15,,51,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,<15,0,0,34,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,<15,0,0,34,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,<15,0,0,37,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,<15,0,0,40,0,,,,,,,,,,
2020-07-29T04:22:45.457Z,<15,0,0,38,0,,,,,,,,,,
2020-07-29T07:43:55.003Z,<15,0,0,42,0,,,,,,,,,,
2020-07-29T15:54:50.897Z,<15,0,0,44,0,,,,,,,,,,
2020-07-29T19:47:41.590Z,<15,0,0,49,0,,,,,,,,,,
2020-07-30T03:34:45.407Z,<15,0,0,41,0,,,,,,,,,,
2020-07-30T07:55:24.147Z,<15,0,0,41,0,,,,,,,,,,
2020-07-30T15:43:54.137Z,<15,0,0,43,0,,,,,,,,,,
2020-07-30T19:25:51.573Z,<15,0,0,44,0,,,,,,,,,,
2020-07-31T03:50:21.007Z,<15,0,0,42,0,,,,,,,,,,
2020-07-31T07:43:12.217Z,<15,0,0,49,0,,,,,,,,,,
2020-07-31T14:53:21.500Z,<15,0,0,54,0,,,,,,,,,,
2020-08-01T16:50:00.920Z,<15,0,0,56,0,,,,,,,,,,
2020-08-01T19:55:08.933Z,<15,0,0,59,0,,,,,,,,,,
2020-08-02T03:33:43.373Z,<15,0,0,57,0,,,,,,,,,,
2020-08-02T07:36:18.830Z,<15,0,0,57,0,,,,,,,,,,
2020-08-02T14:56:26.230Z,<15,0,0,58,0,,,,,,,,,,
2020-08-02T19:40:45.250Z,<15,0,0,62,0,,,,,,,,,,
2020-08-03T04:12:58.747Z,<15,0,0,60,0,,,,,,,,,,
2020-08-03T07:31:19.470Z,<15,0,0,60,0,,,,,,,,,,
2020-08-03T15:51:59.413Z,<15,<15,2,63,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,<15,<15,2,65,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,<15,<15,2,57,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,<15,<15,2,57,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,<15,<15,2,59,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,<15,<15,2,59,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,<15,<15,2,48,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,<15,<15,2,56,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,<15,<15,2,66,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,<15,<15,2,70,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,<15,<15,2,67,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,<15,<15,2,67,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,<15,<15,4,77,1-5,,,,,,,,,,
