Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,237,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,246,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,251,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,257,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,257,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,257,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,257,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,257,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,258,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,264,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,268,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,268,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,270,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,270,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,275,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,275,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,277,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,281,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,280,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,288,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,289,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,289,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,289,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,289,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,290,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,291,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,291,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,295,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,298,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,303,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,304,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,311,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,314,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,318,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,321,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,325,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,325,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,327,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,333,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,333,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,338,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,339,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,343,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,345,135,,26728,53,,,,,,,,,,
2020-07-06T15:56:00.557Z,358,145,,26970,65,,,,,,,,,,
2020-07-07T05:00:26.417Z,367,153,,27119,64,,,,,,,,,,
2020-07-07T07:17:42.693Z,369,155,,27158,66,,,,,,,,,,
2020-07-07T15:43:32.247Z,383,165,,27455,80,,,,,,,,,,
2020-07-07T19:25:00.177Z,384,165,,27793,81,,,,,,,,,,
2020-07-08T07:31:44.197Z,389,169,,27988,72,,,,,,,,,,
2020-07-08T15:51:46.940Z,396,173,,28242,79,,,,,,,,,,
2020-07-08T19:34:17.600Z,412,188,,28419,95,,,,,,,,,,
2020-07-09T07:16:21.100Z,417,190,,28553,92,,,,,,,,,,
2020-07-09T15:38:11.660Z,418,191,,28739,93,,,,,,,,,,
2020-07-10T04:16:29.737Z,427,194,,28973,98,,,,,,,,,,
2020-07-10T07:28:43.630Z,426,191,,29016,97,,,,,,,,,,
2020-07-10T14:20:07.117Z,434,193,,29212,104,,,,,,,,,,
2020-07-11T17:08:38.350Z,450,205,,29811,113,,,,,,,,,,
2020-07-11T19:41:22.557Z,449,204,,29810,112,,,,,,,,,,
2020-07-12T07:32:17.937Z,464,219,,30089,116,,,,,,,,,,
2020-07-12T15:55:03.303Z,471,227,,30215,123,,,,,,,,,,
2020-07-13T12:16:23.697Z,492,243,,30939,122,,,,,,,,,,
2020-07-13T13:19:16.637Z,493,244,,31005,123,,,,,,,,,,
2020-07-13T19:28:55.597Z,522,272,,31388,152,,,,,,,,,,
2020-07-14T07:14:06.710Z,524,273,,31495,135,,,,,,,,,,
2020-07-14T20:02:00.000Z,540,287,,4186,152,,,,,,,,,,
2020-07-15T07:32:13.567Z,549,295,,3990,137,,,,,,,,,,
2020-07-15T15:35:31.323Z,570,313,,4606,157,,,,,,,,,,
2020-07-15T19:29:13.910Z,588,331,,4796,175,,,,,,,,,,
2020-07-16T07:40:17.937Z,604,342,,4536,179,,,,,,,,,,
2020-07-16T15:42:35.290Z,613,347,,4753,187,,,,,,,,,,
2020-07-16T19:09:09.317Z,618,352,,5025,191,,,,,,,,,,
2020-07-17T07:18:52.977Z,622,356,,4465,175,,,,,,,,,,
2020-07-17T15:27:31.690Z,661,391,,4922,215,,,,,,,,,,
2020-07-18T19:46:54.420Z,691,415,,4926,227,,,,,,,,,,
2020-07-19T07:20:25.537Z,695,419,,4625,212,,,,,,,,,,
2020-07-19T15:47:25.010Z,713,435,,4946,231,,,,,,,,,,
2020-07-19T19:39:30.623Z,717,436,,5134,235,,,,,,,,,,
2020-07-20T07:39:43.380Z,732,446,,4383,212,,,,,,,,,,
2020-07-20T16:08:51.117Z,765,473,,4773,245,,,,,,,,,,
2020-07-20T19:37:52.507Z,772,478,,4957,252,,,,,,,,,,
